"Path","ImportsAndroidLog","HasLogCalls","HasFileLogger","LogCalls","FileLoggerCalls"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/LogcatFileRecorder.java","True","True","True","1","5"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/MapPath.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/MapPathNode.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/ParseUtils.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/RuntimeNetTrace.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/Russian.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/SessionContext.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/SessionManager.java","True","True","True","20","19"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/VersionClass.java","False","False","False","0","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/utils/WebViewProxyHelper.java","True","True","False","2","0"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/webview/WebViewRequestInterceptor.java","True","True","True","45","5"
"C:/Users/User/AbclientAndroid/app/src/main/java/ru/neverlands/abclient/WebViewCookieJar.java","False","False","True","0","5"
